Return Date,product_id,store_id,quantity
7-Jan-23,250,6,1
7-Jan-23,628,6,1
7-Jan-23,869,6,1
7-Jan-23,469,11,1
7-Jan-23,532,23,2
11-Jan-23,742,23,1
11-Jan-23,761,11,1
11-Jan-23,1396,11,1
11-Jan-23,1,7,1
11-Jan-23,365,7,2
11-Jan-23,385,7,1
11-Jan-23,671,7,1
11-Jan-23,1329,23,2
11-Jan-23,70,15,1
11-Jan-23,461,7,1
11-Jan-23,469,23,1
11-Jan-23,850,7,1
11-Jan-23,927,7,1
11-Jan-23,961,23,1
11-Jan-23,987,23,1
11-Jan-23,1117,23,1
11-Jan-23,1292,15,1
11-Jan-23,1458,23,1
20-Jan-23,23,24,1
20-Jan-23,40,24,2
20-Jan-23,43,6,1
20-Jan-23,85,24,1
20-Jan-23,193,24,1
20-Jan-23,464,3,1
21-Jan-23,918,3,1
21-Jan-23,1104,24,2
21-Jan-23,1296,3,1
21-Jan-23,310,13,1
23-Jan-23,418,13,1
23-Jan-23,599,13,1
23-Jan-23,638,13,1
23-Jan-23,1078,13,1
3-Feb-23,1152,13,2
3-Feb-23,1257,11,1
3-Feb-23,132,23,1
3-Feb-23,254,3,1
8-Feb-23,290,3,1
8-Feb-23,568,23,1
19-Feb-23,1081,3,2
19-Feb-23,1164,3,1
19-Feb-23,1230,3,1
19-Feb-23,1371,23,1
22-Feb-23,12,24,2
22-Feb-23,238,24,1
26-Feb-23,358,24,1
26-Feb-23,964,24,1
26-Feb-23,75,13,1
26-Feb-23,107,13,1
26-Feb-23,188,13,2
26-Feb-23,189,13,1
26-Feb-23,229,13,2
2-Mar-23,391,13,1
2-Mar-23,412,24,2
2-Mar-23,475,13,1
4-Mar-23,484,6,1
4-Mar-23,569,13,1
4-Mar-23,590,13,1
13-Mar-23,594,17,2
13-Mar-23,669,17,2
13-Mar-23,804,13,1
13-Mar-23,915,24,1
21-Mar-23,950,6,1
21-Mar-23,959,13,1
21-Mar-23,992,13,1
21-Mar-23,1046,13,1
21-Mar-23,1049,13,1
21-Mar-23,1063,13,1
21-Mar-23,1226,13,1
21-Mar-23,1319,13,1
21-Mar-23,1327,24,1
21-Mar-23,1393,13,1
21-Mar-23,1404,13,1
21-Mar-23,1445,13,1
21-Mar-23,361,7,1
21-Mar-23,726,7,1
21-Mar-23,466,17,1
21-Mar-23,551,17,1
28-Mar-23,592,17,1
28-Mar-23,895,17,1
28-Mar-23,982,17,1
28-Mar-23,1107,15,2
28-Mar-23,1291,3,1
28-Mar-23,1523,15,2
8-Apr-23,1531,17,1
8-Apr-23,439,6,1
12-Apr-23,1098,6,2
12-Apr-23,366,24,1
12-Apr-23,603,24,1
14-Apr-23,879,24,1
14-Apr-23,1162,24,1
14-Apr-23,1179,24,1
14-Apr-23,391,17,1
14-Apr-23,551,17,2
15-Apr-23,760,17,2
15-Apr-23,1043,17,1
17-Apr-23,1398,17,1
17-Apr-23,1439,17,1
17-Apr-23,17,6,1
17-Apr-23,176,11,1
17-Apr-23,194,6,2
17-Apr-23,320,24,1
1-May-23,598,24,2
1-May-23,865,24,1
1-May-23,952,11,2
1-May-23,954,24,2
1-May-23,1004,11,1
5-May-23,1271,24,1
9-May-23,13,15,1
9-May-23,139,15,1
9-May-23,360,15,1
9-May-23,537,15,1
9-May-23,167,7,1
9-May-23,434,16,1
9-May-23,455,7,1
9-May-23,497,7,1
9-May-23,1051,16,1
9-May-23,1337,7,1
9-May-23,1463,7,1
9-May-23,1496,16,2
9-May-23,1542,7,1
9-May-23,93,11,1
9-May-23,100,13,1
2-Jun-23,197,16,1
2-Jun-23,271,13,1
2-Jun-23,443,7,1
2-Jun-23,563,16,1
2-Jun-23,683,11,1
2-Jun-23,784,13,1
3-Jun-23,860,11,1
3-Jun-23,894,7,1
3-Jun-23,1038,11,1
6-Jun-23,1045,16,2
6-Jun-23,1053,16,1
6-Jun-23,1212,11,1
17-Jun-23,1218,13,1
17-Jun-23,1220,13,1
17-Jun-23,1355,16,1
17-Jun-23,1357,13,2
23-Jun-23,1402,13,1
23-Jun-23,1556,16,1
23-Jun-23,259,3,1
23-Jun-23,360,16,1
3-Jul-23,486,16,1
6-Jul-23,520,3,2
6-Jul-23,651,13,1
6-Jul-23,851,13,1
6-Jul-23,921,13,1
6-Jul-23,952,13,1
6-Jul-23,1169,3,1
6-Jul-23,1452,16,1
6-Jul-23,1481,3,2
6-Jul-23,179,13,1
20-Jul-23,328,13,1
20-Jul-23,688,13,1
20-Jul-23,1432,13,2
20-Jul-23,1549,13,1
20-Jul-23,222,15,1
20-Jul-23,324,16,1
20-Jul-23,358,23,1
20-Jul-23,375,16,1
20-Jul-23,810,15,1
27-Jul-23,814,15,2
27-Jul-23,990,23,1
27-Jul-23,1147,3,2
27-Jul-23,1295,15,2
27-Jul-23,43,17,1
27-Jul-23,603,17,1
27-Jul-23,1013,17,1
27-Jul-23,1185,17,1
27-Jul-23,1273,17,2
27-Jul-23,1397,17,1
27-Jul-23,1428,17,1
27-Jul-23,393,15,1
27-Jul-23,530,15,1
28-Jul-23,623,15,2
28-Jul-23,231,11,1
4-Aug-23,501,17,1
4-Aug-23,755,17,1
4-Aug-23,936,17,1
4-Aug-23,1161,17,1
4-Aug-23,1293,17,2
4-Aug-23,1526,17,1
6-Aug-23,302,3,1
6-Aug-23,663,3,1
6-Aug-23,882,3,2
6-Aug-23,1440,3,1
6-Aug-23,637,15,1
6-Aug-23,921,16,1
6-Aug-23,1054,15,1
8-Aug-23,1442,15,2
8-Aug-23,1473,15,1
8-Aug-23,97,24,2
27-Aug-23,196,13,1
1-Sep-23,247,15,1
1-Sep-23,292,24,1
10-Sep-23,466,16,1
10-Sep-23,539,24,1
10-Sep-23,684,15,1
10-Sep-23,900,13,1
10-Sep-23,928,15,1
10-Sep-23,1067,13,1
11-Sep-23,1140,15,1
11-Sep-23,1190,24,1
17-Sep-23,1201,16,2
17-Sep-23,1351,13,1
18-Sep-23,1464,15,1
18-Sep-23,653,15,1
18-Sep-23,687,15,1
18-Sep-23,1244,15,1
18-Sep-23,1246,15,1
2-Oct-23,1275,15,2
2-Oct-23,210,11,2
2-Oct-23,283,11,1
2-Oct-23,389,11,1
2-Oct-23,642,11,1
2-Oct-23,789,11,1
5-Oct-23,907,24,1
15-Oct-23,1076,11,2
15-Oct-23,1168,6,1
15-Oct-23,71,23,1
16-Oct-23,260,24,1
16-Oct-23,408,24,1
16-Oct-23,528,6,1
16-Oct-23,709,24,1
21-Oct-23,1080,6,1
21-Oct-23,1447,6,1
21-Oct-23,175,13,1
21-Oct-23,479,13,1
4-Nov-23,249,17,1
4-Nov-23,972,17,1
4-Nov-23,1090,17,1
4-Nov-23,1502,17,1
4-Nov-23,28,23,1
16-Nov-23,91,11,2
16-Nov-23,555,23,1
16-Nov-23,625,11,1
18-Nov-23,668,11,1
18-Nov-23,1528,23,1
18-Nov-23,11,6,1
18-Nov-23,231,17,2
25-Nov-23,269,6,1
25-Nov-23,499,7,1
25-Nov-23,548,6,1
25-Nov-23,551,6,1
25-Nov-23,575,11,1
25-Nov-23,661,7,2
25-Nov-23,913,17,2
30-Nov-23,978,7,1
30-Nov-23,983,7,1
30-Nov-23,1430,11,1
30-Nov-23,1475,11,1
11-Dec-23,1549,6,1
11-Dec-23,105,7,1
11-Dec-23,327,7,2
11-Dec-23,493,7,1
11-Dec-23,881,7,1
11-Dec-23,951,7,1
14-Dec-23,1472,7,1
14-Dec-23,53,3,2
14-Dec-23,362,23,1
14-Dec-23,526,6,1
18-Dec-23,564,23,1
18-Dec-23,648,6,1
18-Dec-23,914,6,1
18-Dec-23,964,3,1
18-Dec-23,995,23,2
18-Dec-23,1169,3,2
18-Dec-23,370,15,2
22-Dec-23,376,7,1
22-Dec-23,386,3,1
22-Dec-23,467,15,1
22-Dec-23,482,3,1
22-Dec-23,734,15,1
28-Dec-23,799,3,2
28-Dec-23,914,7,1
28-Dec-23,927,7,1
28-Dec-23,935,3,1
28-Dec-23,1260,15,1
2-Jan-24,815,24,1
2-Jan-24,1142,24,1
2-Jan-24,1405,24,1
6-Jan-24,1414,24,1
6-Jan-24,10,17,1
6-Jan-24,174,17,2
6-Jan-24,217,17,1
11-Jan-24,417,17,1
11-Jan-24,434,6,1
11-Jan-24,507,17,1
11-Jan-24,681,17,1
11-Jan-24,712,3,1
26-Jan-24,984,17,1
26-Jan-24,142,16,1
26-Jan-24,312,16,1
26-Jan-24,335,16,1
26-Jan-24,752,16,2
29-Jan-24,899,23,1
29-Jan-24,1449,16,1
29-Jan-24,172,17,1
29-Jan-24,181,17,1
29-Jan-24,234,17,2
29-Jan-24,349,15,1
10-Feb-24,536,13,1
10-Feb-24,985,17,1
10-Feb-24,1088,15,1
10-Feb-24,1106,13,1
10-Feb-24,1347,13,1
10-Feb-24,1376,13,1
17-Feb-24,52,11,1
17-Feb-24,122,3,1
17-Feb-24,1329,3,1
22-Feb-24,1164,13,1
22-Feb-24,1252,13,1
22-Feb-24,41,24,1
22-Feb-24,881,24,1
22-Feb-24,1464,24,2
25-Feb-24,80,17,2
25-Feb-24,105,17,1
27-Feb-24,143,17,1
27-Feb-24,258,17,2
2-Mar-24,466,17,1
2-Mar-24,512,7,1
3-Mar-24,961,7,1
3-Mar-24,1182,17,1
6-Mar-24,1189,17,1
6-Mar-24,1235,17,2
6-Mar-24,132,13,1
6-Mar-24,440,13,1
19-Mar-24,460,16,2
19-Mar-24,495,13,1
19-Mar-24,557,16,1
19-Mar-24,639,13,1
19-Mar-24,852,16,1
23-Mar-24,856,13,1
23-Mar-24,883,13,1
23-Mar-24,1019,16,1
23-Mar-24,1103,16,2
23-Mar-24,1216,16,2
9-Apr-24,1281,13,1
9-Apr-24,239,11,1
9-Apr-24,495,11,1
9-Apr-24,511,11,1
9-Apr-24,799,16,1
9-Apr-24,821,16,1
9-Apr-24,894,16,1
9-Apr-24,969,11,1
11-Apr-24,1381,16,1
11-Apr-24,137,16,1
11-Apr-24,474,23,1
11-Apr-24,750,16,1
27-Apr-24,650,13,1
27-Apr-24,778,13,1
29-Apr-24,1128,13,1
29-Apr-24,1137,13,2
30-Apr-24,1220,7,2
30-Apr-24,1406,13,2
30-Apr-24,1437,7,1
30-Apr-24,1453,7,1
1-May-24,344,24,1
1-May-24,457,11,2
1-May-24,466,11,1
1-May-24,477,11,1
1-May-24,803,24,1
1-May-24,947,11,1
7-May-24,1021,24,1
7-May-24,1198,11,1
7-May-24,1296,11,1
7-May-24,1298,24,1
10-May-24,1305,11,1
10-May-24,1400,24,1
10-May-24,20,13,1
10-May-24,862,13,1
